Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ImageURL,OnView,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Picasso Sculpture (cardboard),Brassaï (Gyula Halász),745,"(French, born Brassó. 1899–1984)",(French),(1899),(1984),(male),1943,Gelatin silver print,"11 7/16 × 7 13/16"" (29.1 × 19.8 cm)",Purchase,312.1968,Photograph,Photography,1968-01-10,Y,50510,https://www.moma.org/collection/works/50510,https://www.moma.org/media/W1siZiIsIjE4NjcxNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=8e5290a0740cf2eb,,,,,29.1,,,19.8,,
Untitled from the series Letters and Lines (Letras e Linhas),Mira Schendel,7961,"(Brazilian, born Switzerland. 1919–1988)",(Brazilian),(1919),(1988),(female),c. 1964–65,Oil transfer drawing on paper,"18 1/2 x 9 1/8"" (47 x 23.2 cm)",Purchase,115.2005,Drawing,Drawings & Prints,2005-02-08,Y,94756,https://www.moma.org/collection/works/94756,https://www.moma.org/media/W1siZiIsIjMzOTM2MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=edb60bbef169c9e9,,,,,47.0,,,23.1775,,
The Shine,Charles Demuth,1490,"(American, 1883–1935)",(American),(1883),(1935),(male),c. 1916,Watercolor and pencil on paper,"7 3/4 x 10 1/4"" (19.7 x 26 cm)",Gift of James W. Barney,165.1934,Drawing,Drawings & Prints,1934-12-19,Y,34965,https://www.moma.org/collection/works/34965,https://www.moma.org/media/W1siZiIsIjI2MzE5MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=942a37795f84c59b,,,,,19.7,,,26.0,,
"IIT Alumni Memorial Hall, Chicago, IL (Stairs. Perspective. Sketch.)",Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(male),1945—1946,Ink on paper,(15.2 x 21.5 cm.),"Mies van der Rohe Archive, gift of the architect",MR4501.19,Mies van der Rohe Archive,Architecture & Design,1968-04-11,N,456729,,,,,,,,,,,,
Untitled from DIE/DIE MORE/DIE BETTER/DIE AGAIN,Maurizio Cattelan,8330,"(Italian, born 1960)",(Italian),(1960),(0),(male),2008,Offset from an artist's book with unique drawing,"page: 12 13/16 x 16 15/16"" (32.5 x 43 cm)",Monroe Wheeler Fund,610.2008.15,Illustrated Book,Drawings & Prints,2008-06-18,N,134987,,,,,,,32.5,,,43.0,,
"Generator Project, White Oak, Florida, Plan of Menu 25, detail of S.W. Zone 1",Cedric Price,7986,"(British, 1934–2003)",(British),(1934),(2003),(male),1978-80,Gelatin silver print,"11 3/4 x 8 3/8"" (29.9 x 21.3 cm)",Gift of The Howard Gilman Foundation,1277.2000,Architecture,Architecture & Design,2000-10-31,Y,104703,https://www.moma.org/collection/works/104703,https://www.moma.org/media/W1siZiIsIjUzMDE5MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d84db090971af378,,,,,29.8451,,,21.2725,,
"Untitled, plate 9 of 15, from the series, Nature Study",Louise Bourgeois,710,"(American, born France. 1911–2010)",(American),(1911),(2010),(female),2009,Drypoint,"plate: 8 15/16 x 6 7/16"" (22.7 x 16.4 cm); sheet: 12 x 9"" (30.5 x 22.8 cm)",Gift of the artist,1586.2012,Print,Drawings & Prints,2012-10-03,Y,150688,https://www.moma.org/collection/works/150688,https://www.moma.org/media/W1siZiIsIjI2NjYwMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=bbb490a1f50e6b73,,,,,22.7,,,16.4,,
Psi Art Gathering from The Whole Works,Yutaka Matsuzawa,32795,"(Japanese, 1922–2006)",(Japanese),(1922),(2006),(male),1969,Lithograph from a portfolio of 71 prints,"sheet: 7 1/16 x 7 1/16"" (18 x 18 cm)",Art & Project/Depot VBVR Gift,1064.2007.39,Print,Drawings & Prints,2007-11-12,Y,124569,https://www.moma.org/collection/works/124569,https://www.moma.org/media/W1siZiIsIjI1NjgzOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=8e4f7cc5815624d9,,,,,18.0,,,18.0,,
Have you seen my language?,Matt Keegan,48637,"(American, born 1976)",(American),(1976),(0),(male),2016,Chromogenic print,"20 5/8 × 15 5/8"" (52.4 × 39.7 cm)",Committee on Photography Fund,256.2018.40,Photograph,Photography,2018-05-17,Y,290496,https://www.moma.org/collection/works/290496,https://www.moma.org/media/W1siZiIsIjQzNzg3OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=1c1ae84862815957,,,,,52.3876047752,,,39.6875793752,,
Untitled,Man Ray (Emmanuel Radnitzky),3716,"(American, 1890–1976)",(American),(1890),(1976),(male),1932,Gelatin silver print,"11 5/8 × 8 3/4"" (29.8 × 22.3 cm)",Gift of James Thrall Soby,190.1941,Photograph,Photography,1941-01-16,Y,48076,https://www.moma.org/collection/works/48076,https://www.moma.org/media/W1siZiIsIjIwODQzOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=146a0b59ff0a04da,,,,,29.8,,,22.3,,
"Beetle (plate, folio 51 verso) from A Bestiary",Vija Celmins,1048,"(American, born Latvia 1938)",(American),(1938),(0),(female),1990,Woodcut from an illustrated book with twenty-nine linoleum cuts (two with pochoir and two with letterpress) and seven woodcuts,"composition: 2 15/16 × 3 11/16"" (7.5 × 9.4 cm); page: 14 13/16 × 10 13/16"" (37.6 × 27.5 cm)",Abby Aldrich Rockefeller Fund,29.1991.22,Illustrated Book,Drawings & Prints,1991-01-23,Y,10092,https://www.moma.org/collection/works/10092,https://www.moma.org/media/W1siZiIsIjQ4OTQwMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=95a276ce7f3c7bab,,,,,7.5,,,9.4,,
Untitled,Alex Brown,28575,"(American, born 1966)",(American),(1966),(0),(male),2003,Ink on paper,"30 x 22 1/2"" (76.2 x 57.2 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,1371.2005,Drawing,Drawings & Prints,2005-05-10,Y,95626,https://www.moma.org/collection/works/95626,https://www.moma.org/media/W1siZiIsIjExODU2NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e48d0d828bc04753,,,,,76.2002,,,57.1501,,
Scale Descention Piece,"János Kender, Harry Shunk, Bill Beckley","38024, 8247, 428","(Hungarian, 1937–2009) (German, 1924–2006) (American, 1946–2024)",(Hungarian) (French) (American),(1937) (1924) (1946),(2009) (2006) (2024),(male) (male) (male),1971,Gelatin silver print,"6 11/16 × 9 5/8"" (17 × 24.5 cm)",Gift of the Roy Lichtenstein Foundation in honor of Jennifer Winkworth and Kynaston McShine and in memory of Harry Shunk and János Kender,1018.2013.77,Photograph,Photography,2013-10-24,Y,176326,https://www.moma.org/collection/works/176326,https://www.moma.org/media/W1siZiIsIjI5NTg5NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=016cb2b20ea4a744,,,0.0,,17.7800355601,,,25.4000508001,,
Free-Hanging Room Divider,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),(1899),(1994),(female),c. 1949,"Cotton, cellophane, and braided horsehair","87 x 32 1/2"" (221 x 82.5 cm)",Gift of the designer,408.1960,Design,Architecture & Design,1960-11-30,Y,3492,https://www.moma.org/collection/works/3492,https://www.moma.org/media/W1siZiIsIjQwNDc2MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=50c620320779fc2d,"""MoMA, Floor 3, 3 East""",,,,,221.0,,82.5,,
Untitled (Berkeley),Dorothea Lange,3373,"(American, 1895–1965)",(American),(1895),(1965),(female),1963,"Gelatin silver print, printed 1965","11 1/16 × 16 11/16"" (28.1 × 42.4 cm)",Purchase,626.1995,Photograph,Photography,1995-06-15,Y,55668,https://www.moma.org/collection/works/55668,https://www.moma.org/media/W1siZiIsIjIyMDQzNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=982463d34a4188d0,,,,,28.1,,,42.4,,
Utinoe gnezdyshko... durnykh slov (A Little Duck's Nest... of Bad Words),Olga Rozanova,5066,"(Russian, 1886–1918)",(Russian),(1886),(1918),(female),1913,Illustrated book with twenty-three lithographs and lithographed manuscript texts with gouache and watercolor additions (including cover),composition and page (see child records): dimensions vary,Gift of The Judith Rothschild Foundation,17.2001.1-23,Illustrated Book,Drawings & Prints,2001-01-24,Y,9245,https://www.moma.org/collection/works/9245,https://www.moma.org/media/W1siZiIsIjIxMDAzMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=8160637697c44db4,,,,,18.8,,,12.2,,
Flutist,Robert Emmett Müller,4141,(American),(American),(0),(0),(male),1953,Woodcut,"composition: 7 7/16 x 20 3/8"" (18.9 x 51.7cm); sheet: 11 3/4 x 24"" (29.8 x 61cm)",Gift of the Junior Council,132.1954,Print,Drawings & Prints,1954-04-06,Y,62470,https://www.moma.org/collection/works/62470,https://www.moma.org/media/W1siZiIsIjIxODI5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=810225ddeee07753,,,,,18.9,,,51.7,,
Untitled from the series The Cell (Die Zelle),Gosbert Adler,8086,"(German, born 1956)",(German),(1956),(0),(male),1994,Gelatin silver print,"11 3/4 × 7 7/8"" (29.8 × 20 cm)",The Family of Man Fund,331.1999,Photograph,Photography,1999-10-14,Y,50992,https://www.moma.org/collection/works/50992,https://www.moma.org/media/W1siZiIsIjI0MDgwMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=70ef98b080774848,,,,,29.8,,,20.0,,
"Book cover for ""The Romantic Enlightenment"" by Geoffrey Clive",Elaine Lustig Cohen,7644,"(American, 1927–2016)",(American),(1927),(2016),(female),1959,Lithograph,"7 1/8 × 9 1/8"" (18.1 × 23.2 cm)",Gift of Tamar Cohen,76.2018.42,Design,Architecture & Design,2018-02-12,Y,289828,https://www.moma.org/collection/works/289828,,,,0.0,,18.0975361951,,,23.1775463551,,
"MONTACUTE HOUSE, YEOVIL, PHILLIPS, ESSEX",Alfred Capel Cure,959,"(British, 1826–1896)",(British),(1826),(1896),(male),1857,Albumen silver print from a paper negative,"8 1/8 × 10 3/4"" (20.7 × 27.2 cm)",Gift of Edmund J. McRickard,2.1983.87,Photograph,Photography,1983-01-13,N,46453,,,,,,,20.7,,,27.2,,
Panels for the Walls of the World: Phase II,Stan VanDerBeek,32424,"(American, 1927–1984)",(American),(1927),(1984),(male),1970,"Cut-and-pasted printed papers, spray paint, and pencil","overall: 6 ft 4 1/2 in × 20 ft (194.3 × 609.6 cm); sheet (each): 8 1/2 × 14"" (21.6 × 35.6 cm)","Acquired through the generosity of the Richard S. Zeisler Fund, Jill and Peter Kraus, and the Department of Film",413.2024.A.99,Collage,Drawings & Prints,2024-10-28,N,497469,,,,,,,,,,,,
"Resor House project, Jackson Hole, WY (Floor plan. Stair detail. Sketch.)",Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(male),1937—1938,Pencil on tracing paper,(21.5 x 33 cm.),"Mies van der Rohe Archive, gift of the architect",MR3800.3,Mies van der Rohe Archive,Architecture & Design,1968-04-11,N,494032,,,,,,,,,,,,
Epoque Magazine,Fritz Glarner,2186,"(American, born Switzerland. 1899–1972)",(American),(1899),(1972),(male),1914-1953,Poster,,Gift of Rose Fried,305.1953,Design,Architecture & Design,1953-04-07,N,6167,,,,,,,,,,,,
Plate (folio 86) from 'Capital' in Pictures,Hugo Gellert,2115,"(American, 1892–1985)",(American),(1892),(1985),(male),1933,Lithograph from an illustrated book with sixty-two lithographs,"composition (irreg.): 14 3/8 × 12 15/16"" (36.5 × 32.8 cm); page (irreg.): 22 9/16 × 15 1/8"" (57.3 × 38.4 cm)",Gift of Lincoln Kirstein,158.1934.41,Illustrated Book,Drawings & Prints,1934-05-10,Y,12308,https://www.moma.org/collection/works/12308,https://www.moma.org/media/W1siZiIsIjIyMjY4MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=f975927f21ddb69b,,,,,36.5,,,32.8,,
Plate (page 29) from VISAGES,Henri Matisse,3832,"(French, 1869–1954)",(French),(1869),(1954),(male),1946,"Lithograph, printed in color","irreg. composition  11 13/16 x 8 3/16"" (30 x 20.8 cm)",The Louis E. Stern Collection,927.1964.9,Illustrated Book,Drawings & Prints,1964-10-06,N,28384,,,,,,,30.0,,,20.8,,
Untitled #256,José Antonio Suárez Londoño,26770,"(Colombian, born 1955)",(Colombian),(1955),(0),(male),2008,Etching,"plate: 3 13/16 x 4 5/8"" (9.7 x 11.8 cm); sheet: 11 x 7 1/2"" (28 x 19 cm)",Gift of the artist through the Latin American and Caribbean Fund,329.2011,Print,Drawings & Prints,2011-05-16,Y,147234,https://www.moma.org/collection/works/147234,https://www.moma.org/media/W1siZiIsIjI0NzAxMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=5a223e207cbc269d,,,,,9.7,,,11.8,,
"Takarazuka, Grand Revue",Tadanori Yokoo,6502,"(Japanese, born 1936)",(Japanese),(1936),(0),(male),1966,Silkscreen,"41 1/2 x 29 3/8"" (105.4 x 74.6 cm)",Gift of Mr. and Mrs. Leo Farland,2277.1967,Design,Architecture & Design,1967-10-18,Y,8980,https://www.moma.org/collection/works/8980,https://www.moma.org/media/W1siZiIsIjUxOTY1OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=936aa0408cd1c43f,,,,,105.4,,,74.6,,
"Bryant Park, New York City",N. Jay Jaffee,2878,"(American, 1921–1999)",(American),(1921),(1999),(male),1953,Gelatin silver print,"4 3/4 × 6 1/8"" (12.1 × 15.6 cm)",Edward Steichen Fund,674.1976,Photograph,Photography,1976-12-08,Y,55978,https://www.moma.org/collection/works/55978,https://www.moma.org/media/W1siZiIsIjIzMzUwNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e701a6f28dc51925,,,,,12.1,,,15.6,,
Plate (folio 91) from Adventures in KU-TA-BA WA-DO,Gerald Jackson,2859,"(American, born 1936)",(American),(1936),(0),(male),1973,One from an illustrated book with with seventy-nine linoleum cuts,"composition: 7 15/16 × 5 15/16"" (20.2 × 15.1 cm); page: 9 13/16 × 7 15/16"" (25 × 20.2 cm)",Gift of the artist,27.1975.78,Illustrated Book,Drawings & Prints,1975-01-07,N,9971,,,,,,,20.2,,,15.1,,
MAISON DE LEBRUN. RUE CARDINAL-LEMOINE 49,Eugène Atget,229,"(French, 1857–1927)",(French),(1857),(1927),(male),1899-1900,Albumen silver print,,"Abbott-Levy Collection. Acquired through the generosity of Shirley C. Burden, and Family of Man Fund",1.1969.4115,Photograph,Photography,1968-03-06,N,42341,,,,,,,,,,,,
Ashes II (Aske II),Edvard Munch,4164,"(Norwegian, 1863–1944)",(Norwegian),(1863),(1944),(male),1899,Lithograph with watercolor additions,"Composition: 13 15/16 x 18"" (35.4 x 45.7 cm); sheet (irreg.): 16 1/4 x 19 1/2"" (41.3 x 49.6 cm)",The William B. Jaffe and Evelyn A.J. Hall Collection,1191.1968,Print,Drawings & Prints,1968-10-10,Y,75981,https://www.moma.org/collection/works/75981,https://www.moma.org/media/W1siZiIsIjUxOTU0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=6f01522f7f35bc86,,,,,35.4,,,45.7,,
Untitled,Unidentified photographer,8595,,(),(0),(0),(),c. 1850,Daguerreotype,"1 11/16 × 2 3/16"" (4.2 × 5.6 cm)",Gift of Celeste Bartos,78.1974,Photograph,Photography,1974-01-29,N,45778,,,,,,,4.2,,,5.6,,
Untitled,Olav Christopher Jenssen,32568,"(Norwegian, born 1954)",(Norwegian),(1954),(0),(male),1996/2002,Charcoal on paper,"9 3/4 x 7 1/8"" (24.8 x 18.1 cm)",Gift of the artist,492.2012,Drawing,Drawings & Prints,2012-02-14,Y,154969,https://www.moma.org/collection/works/154969,https://www.moma.org/media/W1siZiIsIjI0MTYyMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=303d40c03a198654,,,,,24.7650495301,,,18.0975361951,,
Ruelle des Gobelins,Eugène Atget,229,"(French, 1857–1927)",(French),(1857),(1927),(male),1925,Gelatin silver printing-out-paper print,"Approx. 6 1/2 × 8 1/2"" (16.5 × 21.6 cm)","Abbott-Levy Collection. Acquired through the generosity of Shirley C. Burden, and Family of Man Fund",1.1969.4645,Photograph,Photography,1968-03-06,Y,42929,https://www.moma.org/collection/works/42929,https://www.moma.org/media/W1siZiIsIjI5NTY3OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=cc3c3ffc743469a0,,,,,,,,,,
"Mozarttheater project, Dresden, Germany",Hans Poelzig,8100,"(German, 1869–1936)",(German),(1869),(1936),(male),1919-1923,Pencil on paper,"5 1/2 x 8 5/8"" (14 x 21.9 cm)",Committee on Architecture and Design Funds,320.2014.5,Architecture,Architecture & Design,2014-05-19,Y,184415,https://www.moma.org/collection/works/184415,https://www.moma.org/media/W1siZiIsIjMwMjc4NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b1dd62518ee97c7c,,,,,13.9700279401,,,21.9075438151,,
Footsteps,James Alinder,114,"(American, born 1941)",(American),(1941),(0),(male),1969,Gelatin silver print,"7 1/2 × 16 5/8"" (19.0 × 42.3 cm)",Purchase,529.1970,Photograph,Photography,1970-10-27,Y,54751,https://www.moma.org/collection/works/54751,https://www.moma.org/media/W1siZiIsIjE5MzI5OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=234f63a9feb5b6b0,,,,,19.0,,,42.3,,
Roof Advertisement/Partially Transparent (Dachreklame/Teilweise transparent). Promotional design for glass painter Ernst Kraus,Herbert Bayer,399,"(American, born Austria. 1900–1985)",(American),(1900),(1985),(male),1923,"Gouache, ink, and pencil on paper
","11 1/4 × 8 7/16"" (28.5 × 21.4 cm)","The Merrill C. Berman Collection. Acquired through the generosity of Alice and Tom Tisch, Jo Carole and Ronald S. Lauder, Sue and Edgar Wachenheim III, David Booth, Marlene Hess and James D. Zirin, Marie-Josée and Henry R. Kravis, Jack Shear, the Patricia Bonfield Endowed Acquisition Fund for the Design Collection, Daniel and Jane Och, The Orentreich Family Foundation, Emily Rauh Pulitzer, The Modern Women's Fund; and by exchange: Gift of Jean Dubuffet in honor of Mr. and Mrs. Ralph Colin, The Judith Rothschild Foundation Contemporary Drawings Collection, and the Richard S. Zeisler Bequest",404.2018,Drawing,Drawings & Prints,2018-03-21,Y,280170,https://www.moma.org/collection/works/280170,https://www.moma.org/media/W1siZiIsIjQzNjc4NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=dfe53c9baf603028,,,,,28.5,,,21.4,,
"Apartment Buildings, West Diversey Parkway and Lake Shore Drive, Chicago, IL (Floor plan. Sketch.)",Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(male),1956—1958,Pencil on tracing paper,(53.3 x 106.7 cm.),"Mies van der Rohe Archive, gift of the architect",MR5603.11,Mies van der Rohe Archive,Architecture & Design,1968-04-11,N,463592,,,,,,,,,,,,
Untitled,Jan Groover,2358,"(American, 1943–2012)",(American),(1943),(2012),(female),1987,Chromogenic print,"15 11/16 × 22 3/16"" (39.8 × 56.3 cm)",Richard E. and Christie Calder Salomon Fund,339.1994.x1-x2,Photograph,Photography,1994-06-09,Y,51234,https://www.moma.org/collection/works/51234,https://www.moma.org/media/W1siZiIsIjI0MDgwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d7be8e9606e5d66a,,,,,39.8,,,56.3,,
"The Tailor's House (in the Rain) from Tevia the Milkman, Volume I",Anatoli Lvovich Kaplan,2991,"(Russian, 1902–1980)",(Russian),(1902),(1980),(male),"1957–61, published 1961",One from a portfolio of twenty-eight lithographs,"composition (irreg.): 11 7/8 × 17 3/16"" (30.2 × 43.6 cm); sheet: 18 7/16 × 24 1/2"" (46.9 × 62.2 cm)",Gift of Eric Estorick in memory of Judge Henry Epstein,176.1962.26,Print,Drawings & Prints,1962-05-08,Y,12685,https://www.moma.org/collection/works/12685,https://www.moma.org/media/W1siZiIsIjQ0NTc5MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=be04bd805933cc41,,,,,30.2,,,43.6,,
Poor Musicians (Notzeitmusikanten),August Sander,5145,"(German, 1876–1964)",(German),(1876),(1964),(male),1925,Gelatin silver print,"8 5/8 × 6 3/8"" (21.9 × 16.2 cm)",Gift of the artist,389.1953,Photograph,Photography,1953-04-07,Y,52353,https://www.moma.org/collection/works/52353,https://www.moma.org/media/W1siZiIsIjQzMjcxMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=089f62e8436b147d,,,,,21.9,,,16.2,,
Kom BV Vases,Vincent de Rijk,7451,"(Dutch, born 1962)",(Dutch),(1962),(0),(male),1986,Synthetic resin and ceramic,"Each: h. 5"" (12.7 cm), diam. 10"" (25.4 cm)",Gift of the manufacturer,427.1996.1-3,Design,Architecture & Design,1996-09-25,Y,3560,https://www.moma.org/collection/works/3560,https://www.moma.org/media/W1siZiIsIjIyOTYyNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=afcb6eb629c985c7,,,,25.4001,12.7,,,,,
Justine and the Marquis de Sade (plate 1) from Charenton,José Luis Cuevas,1325,"(Mexican, 1934–2017)",(Mexican),(1934),(2017),(male),"1965, published 1966","Lithograph from an illustrated book with fifteen lithographs (including title page, table of contents, and colophon)","composition (irreg.) and sheet: 22 1/2 × 30 1/2"" (57.1 × 77.4 cm)","Gift of Kleiner, Bell & Co.",1778.1967.3,Illustrated Book,Drawings & Prints,1974-01-10,Y,32423,https://www.moma.org/collection/works/32423,https://www.moma.org/media/W1siZiIsIjU0MjI2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=429eccd42044d16a,,,,,57.1,,,77.4,,
"UNTITLED. (Delahaye graines, plantes)",Eugène Atget,229,"(French, 1857–1927)",(French),(1857),(1927),(male),,Albumen silver print,,"Abbott-Levy Collection. Acquired through the generosity of Shirley C. Burden, and Family of Man Fund",1.1969.2322,Photograph,Photography,1968-03-06,N,40338,,,,,,,,,,,,
Out of Bounds,David Hammons,2486,"(American, born 1943)",(American),(1943),(0),(male),1995–96,"Dirt on paper in artist's frame, with basketball","53 1/4 x 41 1/2 x 11 1/2"" (131.2 x 105.4 x 29.2 cm)","Gift of the Friends of Contemporary Drawing, The Friends of Education of The Museum of Modern Art, and Peter and Eileen Norton",160.1997.a-b,Drawing,Drawings & Prints,1997-04-17,Y,34932,https://www.moma.org/collection/works/34932,https://www.moma.org/media/W1siZiIsIjk3NjEyIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMTAyNHgxMDI0XHUwMDNlIl1d.jpg?sha=6f2daef01f9eb7c5,,,29.2,,135.3,,,105.4,,
"Resor House project, Jackson Hole, WY (Ground-floor stairs. Elevation. Sketch.)",Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(male),1937—1938,Pencil on tracing paper,(21.5 x 33 cm.),"Mies van der Rohe Archive, gift of the architect",MR3800.93,Mies van der Rohe Archive,Architecture & Design,1968-04-11,N,494280,,,,,,,,,,,,
"THEY DO NOT AGREE, plate 17 (folio 19) from LOS DESASTRES DE LA GUERRA",Francisco de Goya,2274,"(Spanish, 1746–1828)",(Spanish),(1746),(1828),(male),1810-1863,"Etching, engraving, and drypoint, printed in color","plate  5 11/16 x 8 1/2"" (14.5 x 21.6 cm)",The Louis E. Stern Collection,842.1964.17,Illustrated Book,Drawings & Prints,1964-10-06,N,26312,,,,,,,14.5,,,21.6,,
"Pavilion Apartments and Town Houses, Lafayette Park, Detroit, Ml (Exterior elevation.)",Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(male),1955—1963,Pencil on paper,(53.3 x 135.9 cm.),"Mies van der Rohe Archive, gift of the architect",MR5506.47,Mies van der Rohe Archive,Architecture & Design,1968-04-11,N,465694,,,,,,,,,,,,
"THE CAT AND THE TWO SPARROWS (plate; volume II, folio 101) from FABLES",Marc Chagall,1055,"(French, born Belarus. 1887–1985)",(French),(1887),(1985),(male),1927-1952,"Etching and engraving over photogravure, printed in black with gouache additions","plate  11 9/16 x 9 3/8"" (29.4 x 23.8 cm)",The Louis E. Stern Collection,755.1964.B46,Illustrated Book,Drawings & Prints,1964-10-06,N,22771,,,,,,,29.4,,,23.8,,
Untitled,Marc Brandenburg,28572,"(German, born 1965)",(German),(1965),(0),(male),2003,Pencil on paper,"8 3/8 x 21 3/4"" (21.3 x 55.2 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,1365.2005.13,Drawing,Drawings & Prints,2005-05-10,Y,95618,https://www.moma.org/collection/works/95618,https://www.moma.org/media/W1siZiIsIjEwNjk5MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=a45700abd04b44b5,,,,,21.2725,,,55.2451,,
Portraits from Artists & Photographs,Andy Warhol,6246,"(American, 1928–1987)",(American),(1928),(1987),(male),1970,"Plastic folder, containing eight offset lithographs, from a portfolio of nineteen printed objects","sheet (each): dimensions vary; overall (closed):  11 15/16 x 9  3/4"" (30.4 x 24.7 cm)",Gift of Kynaston McShine,261.1984.19.a-j,Print,Drawings & Prints,1984-10-02,Y,65479,https://www.moma.org/collection/works/65479,https://www.moma.org/media/W1siZiIsIjI1NzQ4MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=da6bfa7845c5511c,,,,,30.4,,,24.7,,
